News,Headline,Date,Url
"New Delhi was put into a week-long lockdown, as India reported its highest daily coronavirus infection toll since the Covid-19 pandemic started.","Indian Stocks Slump on Worsening Virus, as Global Stocks Edge Up After Records",2021-04-19 13:17:00,https://finance.yahoo.com/m/3fc47f84-a63c-3c68-a52f-ea2fb0a3d67c/indian-stocks-slump-on.html
"* Reuters Live Markets blog:By Elizabeth HowcroftLONDON, April 19 (Reuters) - World shares traded near record highs on Monday, as markets were generally upbeat about the prospects for a global economic recovery from COVID-19, ahead of a busy week for earnings.Europe's STOXX 600 reached a record high and was up 0.2% at 0736 GMT. Asian shares hit one-month highs overnight.MSCI world equity index, which tracks shares in 49 countries, was flat on the day, having come close to but not surpassed Friday's record high. MSCI's main European Index was up 0.1%.Matthias Scheiber, global head of portfolio management at Wells Fargo Asset Management cited low interest rates, the rollout of COVID-19 vaccines and the fiscal stimulus package in the United States as reasons for his bullish stance on equities.""Risk is coming down, volatility is coming down … we see the slow reopening of global economies, the rollout of the vaccine and the huge catch-up in demand so from that perspective it should be positive for economic growth.""""We had a strong rally in cyclical and value stocks since the start of this year - we would like to see confirmation in the earnings.""Earnings from IBM and Coca-Cola are due later in the session. Netflix reports on Tuesday. Later in the week, American Airlines and Southwest will be the first major post-COVID cyclicals to post results.The European Central Bank meeting on Thursday will also be in focus this week. ECB President Christine Lagarde said last week that the euro zone economy is still standing on the ""two crutches"" of monetary and fiscal stimulus and these cannot be taken away until it makes a full recovery.Euro zone government bond yields were lower, with the benchmark German 10-year yield down one basis point at -0.27% .The benchmark U.S. Treasury yield, which dropped as low as 1.528% last Thursday, was at 1.5606%.The U.S. economy is set to take off this year as more Americans get COVID-19 vaccinations and become comfortable engaging in a wider range of activities, but any accompanying spike in inflation is likely to be temporary, the Federal Reserve's newest board member said on Friday.Story continuesIn currency markets, the dollar index was down 0.4% at its lowest levels in more than a month, at 91.259, having weakened since its recent peak of 93.439 at the end of March.Dollar-yen was also down 0.5%, changing hands at 108.250 .The euro was up 0.3% versus the dollar at $1.20165 .""We have been highlighting over the past two months that USD could bottom out, in contrast to consensus, and believed that this would be a tactical problem for EM and for certain commodity trades,"" wrote JP Morgan's head of global and European equity strategy, Mislav Matejka, in a note to clients. ""We think the risk of a firmer USD, through rising US-Europe interest rate differential, is not finished.""Matejka also said that, although there is the technical potential for a correction in equities, he would not cut stocks exposure on the six- to nine-month horizon.""We think that it is more likely that we will be raising our year-end targets, rather than reducing them, as we move through the summer,"" he said.Likewise, Wells Fargo Asset Management's Matthias Scheiber said ""We believe we are in the 'buy the dip' environment at this moment given that both fiscal and monetary policy are very supportive, so if we would see a correction … we would probably increase the equity position.”Bitcoin was up nearly 2% at around $57,400, nursing losses from Sunday, when it plunged as much as 14% to $51,541.Oil prices fell as rising COVID-19 infections in India prompted concern than stronger measures to contain the pandemic would hurt economic activity.(Reporting by Elizabeth Howcroft, editing by Larry King)",GLOBAL MARKETS-European shares hit highs as markets upbeat about recovery prospects,2021-04-19 12:47:00,https://finance.yahoo.com/news/global-markets-european-shares-hit-084751785.html
"European stocks inched higher while investors retreated into bonds, with the global coronavirus situation worsening and the vaccine rollout being hampered by safety concerns.",Stocks struggle for direction and bond rally continues with coronavirus situation worsening,2021-04-19 12:46:00,https://finance.yahoo.com/m/97eb9140-cf23-376a-9a9f-81bbce3a30e2/stocks-struggle-for-direction.html
"(Bloomberg) -- Juventus Football Club S.p.A. shares jumped the most in a year after the Italian soccer club joined a group of the game’s wealthiest teams in announcing plans for a new “super league” that could transform revenue streams at the top level of the sport.Juventus stock rose as much as 10% to 85 euro cents in early Milan trading, with Juve Chairman Andrea Agnelli set to be a vice chair of the breakaway group. Other members include Manchester United Plc, whose shares rose 3.9% in early U.S. premarket trading on thin volume.Establishing a new elite tournament in Europe would effectively end the UEFA Champions League’s decades-long reign as the world’s premier club contest, and revolutionize the sport’s structure. Under the plan, 15 founding teams would share an upfront payment of 3.5 billion euros ($4.2 billion).“The financial incentive for the clubs is plain to see, with a multi-billion dollar package at the heart of the scheme, albeit it would forever break the integrity of the club game,” Neil Wilson, chief market analyst at Markets.com, said in emailed comments.Even shares of teams not part of the breakaway group were boosted by news of the plan. Germany’s Borussia Dortmund GmbH & Co KGaA rose as much as 7%, while AFC Ajax N.V. of the Netherlands gained 0.6%.BT Group Plc, which currently holds Champions League broadcasting rights in the U.K., advanced 0.1%.The news follows a year in which soccer clubs’ incomes were slashed by the pandemic preventing fans from entering stadiums. Juventus shares remain down about 35% since the start of 2020.For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.",Juventus Stock Jumps Most in a Year Amid Super League Plan,2021-04-19 10:21:00,https://finance.yahoo.com/news/juventus-stock-jumps-most-amid-082152239.html
"(Bloomberg) -- European stocks rose and U.S. equity futures swung between red and green as momentum in corporate earnings and the global economic recovery buoyed investor sentiment. The dollar slid.The Stoxx Europe 600 Index advanced to a fresh record following a seventh straight week of gains. Nasdaq 100 futures got a boost from easing Treasury yields, while S&P 500 contracts were steady after the U.S. gauge chalked an all-time high. Blue-chip companies reporting later on Monday include The Coca-Cola Company, IBM and United Airlines Holdings Inc.Chinese stocks outperformed amid easing concerns about the health of state enterprise China Huarong Asset Management Co., a distressed-debt manager. China’s financial regulator on Friday said Huarong had ample liquidity, the first official comments since the company missed a deadline to report earnings. Ebbing fears of contagion drove a rally in Huarong bonds.Robust economic data from China and the U.S. last week helped push the MSCI All-Country World Index to another record despite concerns surrounding the spread of Covid-19 variants. New infections in the past week surpassed 5.2 million, the most since the pandemic began.The risk of another destabilizing increase in borrowing costs has also subsided, as bond yields have pulled back from recent highs. This week traders will look for further confirmation of the private sector’s recovery from the pandemic as the earnings season gathers pace.“Our current view is that with short-term interest rates set to remain low for the medium term and our expectation that earnings will continue to increase, it is unlikely that the increase in long-term interest rates will trigger an equity market fall,” Russel Chesler, head of investments and capital markets at VanEck Australia, said in a note.Elsewhere, Bitcoin pared losses after tumbling the most since February over the weekend.Here are some key events to watch this week:Apple’s first product unveiling of the year on Tuesday.Reserve Bank of Australia releases minutes of its policy meeting on Tuesday.EIA crude oil inventory report on Wednesday.European Central Bank rate decision and President Christine Lagarde briefing on Thursday.U.S. releases manufacturing and services purchasing managers indexes Friday.Story continuesThese are some of the main moves in financial markets:StocksFutures on the S&P 500 Index were little changed at 9:14 a.m. London time.The Stoxx Europe 600 Index gained 0.2%.The MSCI Asia Pacific Index rose 0.2%.The MSCI Emerging Market Index increased 0.1%.CurrenciesThe Bloomberg Dollar Spot Index dipped 0.3%.The euro gained 0.3% to $1.2019.The British pound rose 0.3% to $1.3877.The onshore yuan strengthened 0.1% to 6.512 per dollar.The Japanese yen strengthened 0.6% to 108.17 per dollar.BondsThe yield on 10-year Treasuries fell two basis points to 1.56%.The yield on two-year Treasuries dipped less than one basis point to 0.16%.Germany’s 10-year yield was unchanged at -0.26%.Britain’s 10-year yield dipped less than one basis point to 0.762%.Japan’s 10-year yield fell one basis point to 0.087%.CommoditiesWest Texas Intermediate crude increased 0.1% to $63.17 a barrel.Brent crude was little changed at $66.74 a barrel.Gold strengthened 0.5% to $1,785.45 an ounce.For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.",Europe Stocks Climb as Futures Drift; Dollar Drops: Markets Wrap,2021-04-19 10:16:00,https://finance.yahoo.com/news/stocks-start-week-highs-dollar-212408451.html
"* Euro zone periphery govt bond yields http://tmsnrt.rs/2ii2BqrBy Dhara RanasingheLONDON, April 19 (Reuters) - Euro zone government bond yields were broadly steady on Monday, with markets largely on hold ahead of this week's European Central Bank meeting.New supply, estimated at over 30 billion euros ($36 billion) this year and above the average for the year so far according to Commerzbank, could put some upward pressure on yields.However, significant moves were likely to be limited ahead of Thursday's European Central Bank meeting.The ECB has stepped up the pace of bond buying in its Pandemic Emergency Purchase Programme since the March meeting to contain a rise in borrowing costs that could derail the recovery.Latest weekly bond buying data are released later on Monday. Bond markets are watching what the ECB says and does closely amid some of disagreement among policymakers over the future pace of bond purchases especially once recovery takes hold.""(ECB chief Christine) Lagarde should try and steer clear of the debate on the future of PEPP, to avoid showcasing divisions on the governing council,"" said Antoine Bouvet, senior rates strategist at ING.""Too many displays of optimism are equally unadvisable, but the outlook has improved in the euro zone, if tentatively.”In early trade, most 10-year bond yields across the single-currency bloc were little changed on the day.Germany's benchmark 10-year Bund yield was steady at around -0.27%, seven basis points below almost one-year highs hit in late February but up 13 bps from six-week lows hit in March.U.S. Treasury yields were a touch lower and further falls there were expected to push down euro area debt yields.There was some focus on the race to be Germany's next leader.The Green party is expected on Monday to present its candidate for chancellor ahead of September's federal election.""This is an important one to look out for, as the CDU/CSU’s slump in the polls has put them only a few points ahead of the second-place Greens, so it’s no longer implausible that the next German chancellor could come from the Greens,"" Deutsche Bank strategist Jim Reid said in a note, referring to the ruling Christian Democrats and the CSU sister party.With CDU Chancellor Angela Merkel stepping down after the election, pressure is mounting on the CDU/CSU bloc to agree on a candidate as its ratings wallow near a one-year low, hurt by the government's handling of COVID-19. ($1 = 0.8347 euros) (Reporting by Dhara Ranasinghe Editing by Raissa Kasolowsky)",Euro zone bond yields steady as market spotlight turns to ECB,2021-04-19 00:29:00,https://finance.yahoo.com/news/euro-zone-bond-yields-steady-072923919.html
"By Brenna Hughes NeghaiwiZURICH (Reuters) - While Wall Street rivals feast off a boom in trading and deals, Credit Suisse is stuck in limbo.The collapse of Archegos, a U.S. investment fund, has left the Swiss bank nursing an anticipated pretax loss of nearly $1 billion for the first quarter. That, plus the demise of another client, Greensill Capital, have triggered internal and external probes and the ousting of a swathe of executives.Investors seeking clarity on what next for Credit Suisse's investment bank, at the heart of the Archegos debacle, and its asset management division, which ran $10 billion in funds linked to Greensill, are unlikely to get final answers on Thursday, when the bank publishes first quarter results.Chief Executive Thomas Gottstein has said that Credit Suisse's incoming chairman, former Lloyd's boss Antonio Horta-Osorio, will likely undertake a strategic review of the bank when he joins next month.Buoyed by a boom in capital raising and deals, Credit Suisse was on the cusp of a bumper start to 2021 before a 4.4 billion franc ($4.77 billion) loss from Archegos.Credit Suisse has emerged as the bank hardest-hit from its exposure to Archegos, which collapsed when it couldn't meet margin calls. Analysts at JPMorgan say Credit Suisse may face another loss of around $400 million this quarter from unwinding Archegos-linked stocks.Credit Suisse has declined to comment on the estimate.Stripping out the 4.4 billion franc charge, the implied underlying pre-tax profit of around 3.5 billion francs would have represented the bank's best quarter operationally in at least a decade.U.S. rivals, some of which were quicker to exit trading positions as Archegos collapsed, produced forecast-beating profits. Goldman Sachs' first quarter net income rose nearly sixfold. Morgan Stanley reported a 150% jump in profit despite disclosing an almost $1 billion loss from Archegos.Credit Suisse shareholders, meanwhile, are facing a slashed dividend, halted share buybacks and a share price down 15% so far this year.Story continuesThe bank has said further buybacks will have to wait until it returns capital to target ratios and is able to restore its dividend.The Financial Times reported last week the group had slashed costs through bonus cuts and other one-off items.While the move helped bolster capital it could hurt the bank's franchise.Widespread departures are a real worry for management, one source familiar with the bank's operations told Reuters.""You have many areas which likely performed exceptionally well in the first quarter, and bankers expect to be paid for exceptional performance. So this becomes a major issue for staff retention,"" Vontobel analyst Andreas Venditti said. ""The options are limited: either they face the risk of losing staff, or they have to make up for this gap with higher accruals in the remaining three quarters.""Credit Suisse declined to comment.It had previously aimed for a common equity tier 1 ratio of at least 12.5% for the first half of 2021, but now expects a first quarter ratio of at least 12%.""The big question Credit Suisse will have to discuss this week is: what will FINMA impose in terms of stricter capital requirements, as they did in 2011 with UBS?"" Venditti said.FINMA, Switzerland's financial supervisor, declined comment.In 2011, when rival UBS suffered a $2.3 billion loss over rogue trades executed by a London-based employee, FINMA imposed capital restrictions and requested UBS bulk up on capital to back its operational risks.Venditti said he expected to see an RWA inflation at Credit Suisse from the second quarter.That would give the bank less room for manoeuvre in its handling of disgruntled fund investors seeking payout after the Greensill debacle, he said, while also posing a potential drag to future earnings during a period of record deal-making and roaring trading.Credit Suisse still faces questions over how it will address $2.3 billion at-risk funds that it is seeking to return to investors following the collapse of its Greensill-linked supply chain finance funds.It has, so far, distributed $4.8 billion to clients.($1 = 0.9234 Swiss francs)(Reporting by Brenna Hughes Neghaiwi; additional reporting by Matt Scuffham and Oliver Hirt: editing by Carmel Crimmins)",Credit Suisse serves investors thin gruel as Wall Street feasts on deals,2021-04-19 10:06:00,https://finance.yahoo.com/news/credit-suisse-serves-investors-thin-070658393.html
"(Bloomberg) -- Japan won praise during the pandemic for staying open while other developed economies locked down -- helping lift stocks to three-decade highs. But as the country now struggles with its inoculation program, a case of vaccine envy is breaking out.The Topix is down 2.8% in the past month, compared with gains of 7% in the S&P 500 Index and 4.6% by the FTSE 100 in London, where photos of revelers at re-opened pubs this week contrast with reports from Tokyo, where hours at bars and restaurants have been shortened as virus cases surge.“Japanese indexes are starting to fall behind. Foreign investors are looking at vaccination rates as an investment decision,” said Tomoichiro Kubota, a senior market analyst at Matsui Securities Co. “Markets are at their wits end right now with the vaccination rate slower in Japan.”Talks on a new supply of vaccine between Prime Minister Yoshihide Suga and Pfizer Inc. Chief Executive Officer Albert Bourla failed to immediately lift spirits in Tokyo markets, as the governors of both Tokyo and Osaka opened the door to declaring another virus emergency.Suga told reporters on Monday that Pfizer had agreed to hold talks on supplying more of the vaccine, and that he expected to have sufficient supplies for the entire country by the end of September. However, he didn’t give further clarity on the timeline or how many doses might be secured. Japan’s vaccine czar Taro Kono said Sunday that a deal had been effectively reached with Pfizer.“The news on the vaccines is outstanding and should help the market regain some of it recent global underperformance in the last few weeks,” John Vail, chief global strategist at Nikko Asset Management Co., said.The first shipments of Moderna Inc.’s vaccine, which could be approved for use in Japan as early as next month, are also set to arrive this week, according to a report by the Jiji news agency.Olympic FocusJapan has entered a fourth wave of the Covid-19 pandemic with fewer than 100 days before the scheduled opening of the Olympic Games. A senior official in Japan’s ruling party indicated last week that canceling the event was an option, though he later clarified his remarks.Story continuesIn Tokyo’s financial circles, some envy peers abroad who have already been vaccinated. Hong Kong on Thursday expanded eligibility to all people over the age of 16. Japan has yet to set out a schedule for groups beyond those over the age of 65, although officials have said they expect the rates to increase in May.“If the inoculation rate for Japan remains so overwhelmingly low, it’s inevitable that compared to other countries, the recovery of the economy will be significantly delayed,” Toshihiro Nagahama, chief economist at Dai-Ichi Life Research Institute, wrote in a report.The country plans to distribute enough vaccine to cover both doses for people 65 years and older by the end of June, though the timeframe for actual administration of the shots hasn’t been finalized.Less UrgencyJapan started inoculations of the elderly one week ago, with only about 7,000 of the 36 million over-65s administered to in the first four days. Nearly 2 million doses have also been given to medical workers.A combination of factors has dragged the rollout, including a requirement for local trials, a lack of domestic development and production capacity that has made Japan dependent on imports, and a public long-skeptical of vaccines.Also, with around 500,000 reported cases to date -- compared to 31 million in the U.S. and 5.2 million in France -- Japan hasn’t felt as much urgency as many nations in the West. Indeed, even during the most recent state of emergency, businesses both large and small mostly stayed open.“Globally, Japan is still an A-student in terms of how little economic activity declined,” said Hiroshi Matsumoto head of Japan investment at Pictet Asset Management, who cites a lull in the earnings cycle for sluggishness in the markets, with a recovery already priced in and earnings season looming.“There isn’t really a debate that Japan is somehow worse compared to other countries that need to ramp up vaccination because their outbreak is worse,” he said.(Updates with quote in sixth paragraph)For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.",Vaccine Envy Hits Japan as Pfizer Talks Fail to Lift Markets,2021-04-19 08:54:00,https://finance.yahoo.com/news/vaccine-envy-hits-japan-markets-081051989.html
"BERLIN, April 19 (Reuters) - Laboratory services group Synlab on Monday set the price range for its planned initial public offering at 18 euros to 23 euros ($21.54 - $27.52) per share, implying a total market capitalisation of up to 5 billion euros.Synlab said it will offer up to 71.5 million ordinary shares, leading to a total IPO size of up to 1.48 billion euros.It said it aimed to raise 400 million euros from the offering of new shares that will be used to repay part of its outstanding debt. The rest of will go to shareholders Cinven , Novo Holdings and the Canadian teacher pension fund OTPP.Books will open on April 20, a bookrunner said on Monday, with the company expecting the offer period to end on April 27 with the first trading day planned on April 30.The issue is organised by JP Morgan and Goldman Sachs with the help of Bank of America, Barclays , BNP Paribas, Deutsche Bank, HSBC , Jefferies and UniCredit. ($1 = 0.8358 euros) (Reporting by Riham Alkousaa, editing by Louise Heavens)",Synlab aims for market capitalisation of up to 5 bln euros in planned IPO,2021-04-19 07:39:00,https://finance.yahoo.com/news/synlab-aims-market-capitalisation-5-063900508.html
"(Bloomberg) -- Emerging-market bulls who’ve benefited from moderating U.S. Treasury yields are bracing for a relapse as political risks pile up.MSCI Inc.’s developing-nation stock gauge extended a three-week winning streak on Friday, while a basket of currencies capped its biggest weekly advance since early February. The risk premium on emerging-market sovereign debt also narrowed to 339 basis points over U.S. Treasuries, its lowest since February 2020, according to data compiled by JPMorgan Chase & Co.Yet the rally is prompting some traders to reassess their bets. Russian shares, which led last week’s equity advance, may come under pressure as the Biden administration evaluates its options to escalate sanctions. South Africa’s rand, the top currency performer in the developing world, is particularly exposed to a potentially stronger dollar, Andres Jaime, a New York-based strategist at Morgan Stanley, wrote in a note. There’s also concern that Treasury yields, which have declined for two straight weeks, will revert back to their trend in the first quarter, when U.S. bonds suffered their worst rout since 1980.Goldman Sachs Group Inc. said it closed its trade recommendation on a basket of developing-nation currencies after the rapid rebound.“Some profit taking on rallies and re-engagement on market wobbles makes sense, even as we keep the faith on cyclical upside over the longer term,” Goldman strategists including Zach Pandl and Kamakshya Trivedi wrote in a note Friday. “The idiosyncratic risks that have weighed on EM FX in 2021 are likely to continue to generate volatility and create opportunities.”Listen: EM Weekly Podcast: Easing U.S. Yields; Russia, Indonesia RatesAside from Russia, political risks are gathering pace in Latin America and Asia. Peruvian stocks dropped to their lowest since January after an admirer of Fidel Castro and Hugo Chavez won the most votes in the first-round of the nation’s presidential election. In China, the credit stress engulfing one of the country’s largest distressed-debt managers is also weighing on shares and bonds.Story continuesInvestors will turn their attention this week to key rate decisions. Indonesia’s central bank may leave borrowing costs unchanged while their Russian counterparts hike. President Vladimir Putin will also make his annual address to the nation on Wednesday, potentially unveiling new measures to boost the economy through spending. He’s facing condemnation from Western officials over the deteriorating health of jailed opposition leader Alexey Navalny as well as the Kremlin’s hack attacks and actions toward Ukraine. The ruble has posted the third-biggest decline in emerging markets this past month.Central BanksIndonesian policy makers are expected to keep their key rate on hold Tuesday as the weakening rupiah deters further easingAt a briefing following the March meeting, Governor Perry Warjiyo said the central bank will guard the currency to keep it in line with its fundamentalsThe rupiah has dropped 3.5% this year, the second-worst decline in emerging AsiaPolicy makers last lowered the seven-day reverse repo rate in February, cutting to a record low of 3.5%“With the rupiah under pressure, BI’s desire to maintain external stability means rate cuts are off the cards,” Krystal Tan, an economist at Australia & New Zealand Banking Group Ltd. in Singapore, wrote in a noteIn Russia, the central bank may extend its new tightening cycleBloomberg Intelligence predicts a quarter-point hike, though U.S. sanctions “raise the risk of a bigger move”China’s central bank will announce one- and five-year loan prime rates on TuesdayPolicy makers last cut the benchmarks in April 2020 to support the economy from the pandemicThe yuan tops emerging Asia currency gains this year after the Taiwan dollarTrade DataThe Philippines will release balance-of-payments data for March on Monday after reporting a deficit in FebruaryThe peso has dropped 0.8% this year, beating most peersTaiwan will publish export orders for March on Tuesday and industrial-production data on FridaySouth Korea, a barometer of global commerce, releases trade data on the first 20 days of April on WednesdayThailand will publish customs-trade figures for March on ThursdayThe baht’s 4.2% drop leads emerging Asia losses in 2021What Else to WatchBrazil traders will monitor federal budget negotiations ahead of an April 22 deadline for President Jair Bolsonaro to decide on a vetoOn Monday, a reading of the nation’s February economic activity is expected to show a 10th straight monthly increase while slipping on a year-over-year basis, according to economists surveyed by BloombergThe country’s benchmark stock index extended on Friday its longest winning streak since last NovemberArgentina’s February economic activity may reflect a slide in industrial and construction activity, interrupting the nation’s recovery, according to Bloomberg EconomicsThe peso, which led declines among major currencies last year, is once again trailing all global peers to start 2021Colombian economic activity for February may reflect a recovery while lingering below pre-pandemic levelsThe nation’s benchmark equity gauge has posted the biggest slide in Latin America so far this yearMexico is set to post bi-weekly consumer price figures on Thursday, which may show the uptrend continuing in the first two weeks of April, according to Bloomberg EconomicsFebruary retail sales data on Friday, meantime, are expected to fall from a year earlier, reflecting the pandemic’s lingering impact, Bloomberg Economics saidThe peso has advanced 3.5% over the past month, the third-biggest gain in emerging markets during that spanSouth Africa will probably report on Tuesday that headline inflation accelerated in March amid higher fuel pricesThe rand has jumped 2.7% this year, beating all major global currenciesMalaysia posts March inflation data on Friday after reporting its first positive reading for the consumer price index in a year in FebruaryFor more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.",Emerging-Market Bulls Brace for Treasury Relapse After Rally,2021-04-19 07:22:00,https://finance.yahoo.com/news/emerging-market-bulls-brace-treasury-114421617.html
